Latitude,Longitude,Distance,Major_Flooding_NAVD88,Moderate_Flooding_NAVD88,Minor_Flooding_NAVD88,Action_Flooding_NAVD88,fid,Named,Cumulative_Distance,Interpolated_Major_Flooding_NAVD88,Interpolated_Moderate_Flooding_NAVD88,Interpolated_Minor_Flooding_NAVD88,Interpolated_Action_Flooding_NAVD88
37.004463,-122.039761,,,,,,1.0,Yes,6144.070119193149,,,,
37.004549,-122.0399,,,,,,1.0,Yes,6159.695523708144,,,,
37.004592,-122.039976,,,,,,1.0,Yes,6167.973845162197,,,,
37.004832,-122.040487,,,,,,1.0,Yes,6220.680879822961,,,,
37.004891,-122.040605,,,,,,1.0,Yes,6233.057433541199,,,,
37.004979,-122.040778,,,,,,1.0,Yes,6251.29132209587,,,,
37.005063,-122.040889,,,,,,1.0,Yes,6264.874749767513,,,,
37.005203,-122.041139,,,,,,1.0,Yes,6292.013661427157,,,,
37.005295,-122.041268,,,,,,1.0,Yes,6307.378326470387,,,,
37.005444,-122.04146,,,,,,1.0,Yes,6331.157815410897,,,,
37.005587,-122.041599,,,,,,1.0,Yes,6351.280210424651,,,,
37.005694,-122.041646,,,,,,1.0,Yes,6363.870129805798,,,,
37.005816,-122.041657,,,,,,1.0,Yes,6377.444767924933,,,,
37.005993,-122.041628,,,,,,1.0,Yes,6397.2566878954685,,,,
37.006078,-122.04161,,,,,,1.0,Yes,6406.824875844591,,,,
37.006211,-122.041592,,,,,,1.0,Yes,6421.671609357485,,,,
37.006311,-122.041562,,,,,,1.0,Yes,6433.086084018937,,,,
37.006389,-122.04149,,,,,,1.0,Yes,6443.856289855267,,,,
37.006475,-122.041394,,,,,,1.0,Yes,6456.666301205352,,,,
37.00657,-122.041268,,,,,,1.0,Yes,6472.058434645373,,,,
37.00663,-122.041166,,,,,,1.0,Yes,6483.316999509845,,,,
37.006683,-122.041077,,,,,,1.0,Yes,6493.183284650995,,,,
37.006771,-122.040918,,,,,,1.0,Yes,6510.377575640527,,,,
37.006867,-122.040738,,,,,,1.0,Yes,6529.617293084711,,,,
37.006915,-122.040641,,,,,,1.0,Yes,6539.761798903178,,,,
37.00699,-122.04051,,,,,,1.0,Yes,6554.087337205876,,,,
37.007058,-122.040434,,,,,,1.0,Yes,6564.221673294369,,,,
37.007132,-122.040387,,,,,,1.0,Yes,6573.438050392944,,,,
37.007219,-122.040338,,,,,,1.0,Yes,6584.032390618106,,,,
37.007268,-122.040332,,,,,,1.0,Yes,6589.496459985891,,,,
37.00734,-122.040327,,,,,,1.0,Yes,6597.499242798616,,,,
37.007417,-122.040315,,,,,,1.0,Yes,6606.111017789038,,,,
37.007486,-122.040303,,,,,,1.0,Yes,6613.842608869003,,,,
37.00753,-122.04029,,,,,,1.0,Yes,6618.860840136947,,,,
37.007588,-122.040273,,,,,,1.0,Yes,6625.472993386783,,,,
37.007676,-122.040255,,,,,,1.0,Yes,6635.369568602859,,,,
37.007767,-122.04024,,,,,,1.0,Yes,6645.55640819963,,,,
37.007832,-122.040241,,,,,,1.0,Yes,6652.770513493888,,,,
37.00792,-122.04025,,,,,,1.0,Yes,6662.569354330968,,,,
37.007931,-122.040251,,,,,,1.0,Yes,6663.79335020853,,,,
37.00801,-122.04028,,,,,,1.0,Yes,6672.93263418434,,,,
37.008086,-122.040297,,,,,,1.0,Yes,6681.501584547065,,,,
37.008147,-122.040373,,,,,,1.0,Yes,6691.071436555896,,,,
37.00817,-122.040453,,,,,,1.0,Yes,6698.635302172285,,,,
37.008226,-122.040671,,,,,,1.0,Yes,6719.0087822823525,,,,
37.008299,-122.040972,,,,,,1.0,Yes,6746.996560974737,,,,
37.008319,-122.041134,,,,,,1.0,Yes,6761.584721470419,,,,
37.008319,-122.041134,,,,,,1.0,Yes,6761.584721470419,,,,
37.008328,-122.043395,,,,,,1.0,Yes,6962.820650552458,,,,
37.008333,-122.04314,,,,,,1.0,Yes,6985.522932704335,,,,
37.008334,-122.043686,,,,,,1.0,Yes,7034.118127765454,,,,
37.008335,-122.041275,,,,,,1.0,Yes,7248.701871168953,,,,
37.008337,-122.043113,,,,,,1.0,Yes,7412.28761273923,,,,
37.008347,-122.044206,,,,,,1.0,Yes,7509.573070611867,,,,
37.008351,-122.043025,,,,,,1.0,Yes,7614.685297461961,,,,
37.008368,-122.042314,,,,,,1.0,Yes,7677.9937844610595,,,,
37.00837,-122.04219,,,,,,1.0,Yes,7689.032253662863,,,,
37.008374,-122.044355,,,,,,1.0,Yes,7881.721903994162,,,,
37.00838,-122.042636,,,,,,1.0,Yes,8034.717629316595,,,,
37.008382,-122.042499,,,,,,1.0,Yes,8046.912909769234,,,,
37.008384,-122.041797,,,,,,1.0,Yes,8109.392637079005,,,,
37.008387,-122.042042,,,,,,1.0,Yes,8131.200643130388,,,,
37.008393,-122.041952,,,,,,1.0,Yes,8139.238441632867,,,,
37.008399,-122.044456,,,,,,1.0,Yes,8362.100153398085,,,,
37.008422,-122.044539,,,,,,1.0,Yes,8369.915859405835,,,,
37.008456,-122.044623,,,,,,1.0,Yes,8378.290240487015,,,,
37.008509,-122.044695,,,,,,1.0,Yes,8386.988513677423,,,,
37.008569,-122.044753,,,,,,1.0,Yes,8395.413781241776,,,,
37.008682,-122.044807,,,,,,1.0,Yes,8408.843688558132,,,,
37.008693,-122.044809,,,,,,1.0,Yes,8410.077353811903,,,,
37.008886,-122.044847,,,,,,1.0,Yes,8431.761442846577,,,,
37.009011,-122.044832,,,,,,1.0,Yes,8445.697759993966,,,,
37.009129,-122.044794,,,,,,1.0,Yes,8459.22281939575,,,,
37.00923,-122.044769,,,,,,1.0,Yes,8470.650287037111,,,,
37.009321,-122.044718,,,,,,1.0,Yes,8481.722429601416,,,,
37.009613,-122.044524,,,,,,1.0,Yes,8518.440775886264,,,,
37.009898,-122.044351,,,,,,1.0,Yes,8553.618078344127,,,,
37.010123,-122.044213,,,,,,1.0,Yes,8581.445205648037,,,,
37.010465,-122.044049,,,,,,1.0,Yes,8622.109435748704,,,,
37.010594,-122.043937,,,,,,1.0,Yes,8639.55396434257,,,,
37.010671,-122.043875,,,,,,1.0,Yes,8649.725978638344,,,,
37.010774,-122.043792,,,,,,1.0,Yes,8663.3358303397,,,,
37.01086,-122.043721,,,,,,1.0,Yes,8674.782168686352,,,,
37.010944,-122.043641,,,,,,1.0,Yes,8686.512279304097,,,,
37.011016,-122.043567,,,,,,1.0,Yes,8696.86703031648,,,,
37.011245,-122.043334,,,,,,1.0,Yes,8729.667614032485,,,,
37.011328,-122.043265,,,,,,1.0,Yes,8740.738120986905,,,,
37.011387,-122.043201,,,,,,1.0,Yes,8749.416574853592,,,,
37.011462,-122.043126,,,,,,1.0,Yes,8760.085780615556,,,,
37.011542,-122.043021,,,,,,1.0,Yes,8772.975643242062,,,,
37.011648,-122.042846,,,,,,1.0,Yes,8792.493688645885,,,,
37.011745,-122.042729,,,,,,1.0,Yes,8807.470598647966,,,,
37.011845,-122.04266,,,,,,1.0,Yes,8820.154091084112,,,,
37.011972,-122.042583,,,,,,1.0,Yes,8835.825958746553,,,,
37.012079,-122.042555,,,,,,1.0,Yes,8847.959244268302,,,,
37.012208,-122.042537,,,,,,1.0,Yes,8862.36473885538,,,,
37.01227,-122.04254,,,,,,1.0,Yes,8869.25054505936,,,,
37.01227,-122.04254,,,,,,1.0,Yes,8869.25054505936,,,,
37.01231,-122.042542,,,,,,1.0,Yes,8873.693227045525,,,,
37.012414,-122.042577,,,,,,1.0,Yes,8885.647868016276,,,,
37.012578,-122.042675,,,,,,1.0,Yes,8905.830084535239,,,,
37.012697,-122.042846,,,,,,1.0,Yes,8925.979778614847,,,,
37.012813,-122.043041,,,,,,1.0,Yes,8947.587640252752,,,,
37.012899,-122.043251,,,,,,1.0,Yes,8968.572870137095,,,,
37.012947,-122.043367,,,,,,1.0,Yes,8980.189802565359,,,,
37.013015,-122.043683,,,,,,1.0,Yes,9009.307622625909,,,,
37.013061,-122.043842,,,,,,1.0,Yes,9024.350753010664,,,,
37.013155,-122.044169,,,,,,1.0,Yes,9055.265812142577,,,,
37.013206,-122.044414,,,,,,1.0,Yes,9077.792523053244,,,,
37.013311,-122.044793,,,,,,1.0,Yes,9113.47821327367,,,,
37.013353,-122.044996,,,,,,1.0,Yes,9132.13601805535,,,,
37.013401,-122.045164,,,,,,1.0,Yes,9148.007970329185,,,,
37.013436,-122.045327,,,,,,1.0,Yes,9163.025342843306,,,,
37.0135,-122.04551,,,,,,1.0,Yes,9180.792983764619,,,,
37.013563,-122.045707,,,,,,1.0,Yes,9199.667843062374,,,,
37.013646,-122.045887,,,,,,1.0,Yes,9218.14652835689,,,,
37.013806,-122.046055,,,,,,1.0,Yes,9241.35929548924,,,,
37.013899,-122.046108,,,,,,1.0,Yes,9252.706971594249,,,,
37.014057,-122.046201,,,,,,1.0,Yes,9272.096675320807,,,,
37.014287,-122.052435,,,,,,1.0,Yes,9827.47929675988,,,,
37.014303,-122.052283,,,,,,1.0,Yes,9841.122579580928,,,,
37.014319,-122.052598,,,,,,1.0,Yes,9869.212179238011,,,,
37.014336,-122.052118,,,,,,1.0,Yes,9911.971404919253,,,,
37.014364,-122.052785,,,,,,1.0,Yes,9971.412308518271,,,,
37.014382,-122.052004,,,,,,1.0,Yes,10040.94603694743,,,,
37.014402,-122.057333,,,,,,1.0,Yes,10515.205013292683,,,,
37.014402,-122.057451,,,,,,1.0,Yes,10525.706409241038,,,,
37.014415,-122.05723,,,,,,1.0,Yes,10545.42711949765,,,,
37.014418,-122.057559,,,,,,1.0,Yes,10574.708322582544,,,,
37.014433,-122.057146,,,,,,1.0,Yes,10611.50087510964,,,,
37.014434,-122.052931,,,,,,1.0,Yes,10986.614159743463,,,,
37.014448,-122.057687,,,,,,1.0,Yes,11409.876448675062,,,,
37.014456,-122.057024,,,,,,1.0,Yes,11468.886695203979,,,,
37.014473,-122.046351,,,,,,1.0,Yes,12418.730154559285,,,,
37.014482,-122.057814,,,,,,1.0,Yes,13438.877953677253,,,,
37.014483,-122.056955,,,,,,1.0,Yes,13515.324556305612,,,,
37.014485,-122.051904,,,,,,1.0,Yes,13964.837271604907,,,,
37.014516,-122.056848,,,,,,1.0,Yes,14404.840844794415,,,,
37.014533,-122.046379,,,,,,1.0,Yes,15336.528667397773,,,,
37.014542,-122.056729,,,,,,1.0,Yes,16257.624590657702,,,,
37.014565,-122.053127,,,,,,1.0,Yes,16578.19367749353,,,,
37.014572,-122.057996,,,,,,1.0,Yes,17011.509503682108,,,,
37.014594,-122.05662,,,,,,1.0,Yes,17133.99050617811,,,,
37.014596,-122.051792,,,,,,1.0,Yes,17563.65676198727,,,,
37.01461,-122.046402,,,,,,1.0,Yes,18043.340422969286,,,,
37.014649,-122.056552,,,,,,1.0,Yes,18946.646140343073,,,,
37.014693,-122.053245,,,,,,1.0,Yes,19240.991680356277,,,,
37.014706,-122.056497,,,,,,1.0,Yes,19530.405500898945,,,,
37.01471,-122.058204,,,,,,1.0,Yes,19682.3198021219,,,,
37.01475,-122.051663,,,,,,1.0,Yes,20264.449742167344,,,,
37.014767,-122.046453,,,,,,1.0,Yes,20728.114744175833,,,,
37.014805,-122.056425,,,,,,1.0,Yes,21615.577251007708,,,,
37.014838,-122.058399,,,,,,1.0,Yes,21791.29034961278,,,,
37.014843,-122.051619,,,,,,1.0,Yes,22394.672430498867,,,,
37.014857,-122.053408,,,,,,1.0,Yes,22553.890918705896,,,,
37.014897,-122.046488,,,,,,1.0,Yes,23169.747660516703,,,,
37.014916,-122.056369,,,,,,1.0,Yes,24049.102793714428,,,,
37.014982,-122.051638,,,,,,1.0,Yes,24470.19826411264,,,,
37.014985,-122.056339,,,,,,1.0,Yes,24888.560144133357,,,,
37.014992,-122.053589,,,,,,1.0,Yes,25133.295418867863,,,,
37.015035,-122.058697,,,,,,1.0,Yes,25587.902675269917,,,,
37.015038,-122.053653,,,,,,1.0,Yes,26036.789246118962,,,,
37.015038,-122.053653,,,,,,1.0,Yes,26036.789246118962,,,,
37.015062,-122.053686,,,,,,1.0,Yes,26040.75395338428,,,,
37.015073,-122.056333,,,,,,1.0,Yes,26276.32451212186,,,,
37.015101,-122.051675,,,,,,1.0,Yes,26690.870593198266,,,,
37.015117,-122.058829,,,,,,1.0,Yes,27327.536549409167,,,,
37.015143,-122.053839,,,,,,1.0,Yes,27771.626143102352,,,,
37.01517,-122.056329,,,,,,1.0,Yes,27993.24146360749,,,,
37.015212,-122.05397,,,,,,1.0,Yes,28203.22995416232,,,,
37.015232,-122.046635,,,,,,1.0,Yes,28856.004165427265,,,,
37.015247,-122.058989,,,,,,1.0,Yes,29955.436119015005,,,,
37.015265,-122.056332,,,,,,1.0,Yes,30191.901309484412,,,,
37.015309,-122.05415,,,,,,1.0,Yes,30386.147273288043,,,,
37.015345,-122.051778,,,,,,1.0,Yes,30597.278376087845,,,,
37.015345,-122.056361,,,,,,1.0,Yes,31005.13687578761,,,,
37.015352,-122.054227,,,,,,1.0,Yes,31195.051185239372,,,,
37.015381,-122.059132,,,,,,1.0,Yes,31631.57742363942,,,,
37.015442,-122.056399,,,,,,1.0,Yes,31874.89140929911,,,,
37.015464,-122.059221,,,,,,1.0,Yes,32126.043372331063,,,,
37.015532,-122.0593,,,,,,1.0,Yes,32136.357319600793,,,,
37.015535,-122.056398,,,,,,1.0,Yes,32394.616849665694,,,,
37.015568,-122.054505,,,,,,1.0,Yes,32563.121424387045,,,,
37.015569,-122.051898,,,,,,1.0,Yes,32795.12755935617,,,,
37.015599,-122.056372,,,,,,1.0,Yes,33193.298409520095,,,,
37.015614,-122.046821,,,,,,1.0,Yes,34043.276732146755,,,,
37.015654,-122.056316,,,,,,1.0,Yes,34888.28114573949,,,,
37.015655,-122.054672,,,,,,1.0,Yes,35034.58637097131,,,,
37.015699,-122.059475,,,,,,1.0,Yes,35462.04953410953,,,,
37.015706,-122.05193,,,,,,1.0,Yes,36133.50491795369,,,,
37.015718,-122.056261,,,,,,1.0,Yes,36518.93743198575,,,,
37.015739,-122.054817,,,,,,1.0,Yes,36647.46493751434,,,,
