BCD_Cumulative_Rainfall_per_Event,BLN_Cumulative_Rainfall_per_Event,BLO_Cumulative_Rainfall_per_Event,SCH_Cumulative_Rainfall_per_Event,date_hour,discharge,gage_height,NAVD88 ft,flood_stage,Total_Cumulative_Event_Rainfall,new_event,event_duration,rainfall_intensity,event_hours,is_peak,pre_peak_hours,post_peak_hours,pre_peak_cumulative_rain,post_peak_cumulative_rain,pre_peak_intensity,post_peak_intensity,hourly_rainfall,hourly_rainfall_in_inches,low_rainfall,gage_height_change_5hr,stable_gage_height,stable_and_low_rainfall,flood_category,time_from_start,hour_gap,new_event_corrected,time_from_start_corrected
0.0,0.0033333333333332,1.331666666666667,0.0033333333333332,2017-02-09 16:00:00,2170.0,12.6,242.66,No Flooding,1.3383333333333334,15360,246.0,0.005440379403794,191,False,0,191,1.3383333333333334,1.3383333333333334,1.3383333333333334,0.0070069808027923,0.0316666666666671,0.3800000000000061,False,3.379999999999999,False,False,Major Flooding,191,1.0,13,191
0.0266666666666672,0.0099999999999997,1.3550000000000004,0.0099999999999997,2017-02-09 17:00:00,2110.0,13.27,243.33,No Flooding,1.401666666666667,15360,246.0,0.0056978319783197,192,False,0,192,1.401666666666667,1.401666666666667,1.401666666666667,0.0073003472222222,0.0633333333333336,0.7600000000000042,False,3.869999999999999,False,False,Major Flooding,192,1.0,13,192
0.0358333333333327,0.0291666666666667,1.3791666666666664,0.0291666666666667,2017-02-09 18:00:00,2070.0,14.51,244.57,Action,1.4733333333333327,15360,246.0,0.0059891598915989,193,False,0,193,1.4733333333333327,1.4733333333333327,1.4733333333333327,0.0076338514680483,0.0716666666666656,0.8599999999999879,False,4.529999999999999,False,False,Major Flooding,193,1.0,13,193
0.0291666666666661,0.0266666666666666,1.3833333333333329,0.0266666666666666,2017-02-09 19:00:00,2010.0,15.51,245.57,Action,1.4658333333333322,15360,246.0,0.0059586720867208,194,False,0,194,1.4658333333333322,1.4658333333333322,1.4658333333333322,0.0075558419243986,-0.0075000000000005,-0.090000000000006,True,4.709999999999999,False,False,Major Flooding,194,1.0,13,194
0.0133333333333342,0.0224999999999996,1.4016666666666673,0.0224999999999996,2017-02-09 20:00:00,1970.0,15.76,245.82,Action,1.4600000000000006,15360,246.0,0.0059349593495934,195,False,0,195,1.4600000000000006,1.4600000000000006,1.4600000000000006,0.0074871794871794,-0.0058333333333315,-0.0699999999999789,True,4.15,False,False,Major Flooding,195,1.0,13,195
0.0233333333333334,0.0133333333333336,1.418333333333333,0.0133333333333336,2017-02-09 21:00:00,1910.0,15.81,245.87,Action,1.4683333333333335,15360,246.0,0.0059688346883468,196,False,0,196,1.4683333333333335,1.4683333333333335,1.4683333333333335,0.0074914965986394,0.0083333333333328,0.0999999999999943,True,3.210000000000001,False,False,Major Flooding,196,1.0,13,196
0.0325,0.013333333333333,1.424166666666667,0.013333333333333,2017-02-09 22:00:00,1890.0,15.55,245.61,Action,1.483333333333333,15360,246.0,0.0060298102981029,197,False,0,197,1.483333333333333,1.483333333333333,1.483333333333333,0.0075296108291032,0.0149999999999994,0.1799999999999935,True,2.280000000000001,False,False,Major Flooding,197,1.0,13,197
0.0266666666666661,0.0291666666666667,1.424166666666667,0.0291666666666667,2017-02-09 23:00:00,1910.0,15.08,245.14,Action,1.5091666666666663,15360,246.0,0.0061348238482384,198,False,0,198,1.5091666666666663,1.5091666666666663,1.5091666666666663,0.0076220538720538,0.0258333333333333,0.3100000000000005,False,0.5700000000000003,False,False,Major Flooding,198,1.0,13,198
0.0224999999999996,0.0233333333333334,1.424166666666667,0.0233333333333334,2017-02-10 00:00:00,2120.0,14.55,244.61,Action,1.4933333333333334,15360,246.0,0.006070460704607,199,False,0,199,1.4933333333333334,1.4933333333333334,1.4933333333333334,0.0075041876046901,-0.0158333333333329,-0.189999999999995,True,-0.9599999999999992,False,False,Major Flooding,199,1.0,13,199
0.0100000000000003,0.0125000000000004,1.4283333333333337,0.0125000000000004,2017-02-10 01:00:00,2470.0,14.04,244.1,Action,1.4633333333333347,15360,246.0,0.0059485094850948,200,False,0,200,1.4633333333333347,1.4633333333333347,1.4633333333333347,0.0073166666666666,-0.0299999999999986,-0.3599999999999843,True,-1.7200000000000006,False,False,Major Flooding,200,1.0,13,200
